Elev (NGVD 29) ft,Volume (Ac-ft)
4484.2,"444,925"
4484.2,"444,925"
4484.22,"446,542"
4484.22,"446,542"
4484.23,"447,350"
4484.235,"447,754"
4484.24,"448,159"
4484.24,"448,159"
4484.24,"448,159"
4484.27,"450,584"
4484.295,"452,605"
4484.32,"454,632"
4484.32,"454,632"
4484.355,"457,473"
4484.36,"457,879"
4484.37,"458,691"
4484.37,"458,691"
4484.375,"459,097"
4484.39,"460,314"
4484.41,"461,941"
4484.41,"461,941"
4484.42,"462,756"
4484.44,"464,386"
4484.445,"464,794"
4484.445,"464,794"
4484.45,"465,201"
4484.45,"465,201"
4484.47,"466,831"
4484.485,"468,054"
4484.495,"468,869"
4484.5,"469,276"
4484.5,"469,276"
4484.5,"469,276"
4484.5,"469,276"
4484.515,"470,503"
4484.52,"470,912"
4484.525,"471,321"
4484.53,"471,730"
4484.54,"472,548"
4484.54,"472,548"
4484.555,"473,776"
4484.56,"474,185"
4484.56,"474,185"
4484.59,"476,639"
4484.605,"477,868"
4484.605,"477,868"
4484.605,"477,868"
4484.62,"479,100"
4484.625,"479,510"
4484.64,"480,743"
4484.64,"480,743"
4484.665,"482,796"
4484.67,"483,207"
4484.67,"483,207"
4484.675,"483,618"
4484.675,"483,618"
4484.7,"485,671"
4484.71,"486,496"
4484.71,"486,496"
4484.72,"487,320"
4484.725,"487,733"
4484.73,"488,145"
4484.735,"488,557"
4484.74,"488,970"
4484.74,"488,970"
4484.74,"488,970"
4484.755,"490,207"
4484.76,"490,619"
4484.77,"491,444"
4484.77,"491,444"
4484.77,"491,444"
4484.78,"492,269"
4484.78,"492,269"
4484.82,"495,574"
4484.84,"497,229"
4484.855,"498,471"
4484.86,"498,885"
4484.86,"498,885"
4484.865,"499,299"
4484.895,"501,782"
4484.9,"502,196"
4484.915,"503,443"
4484.925,"504,274"
4484.925,"504,274"
4484.94,"505,520"
4484.94,"505,520"
4484.945,"505,936"
4484.955,"506,767"
4484.96,"507,182"
4484.96,"507,182"
4484.97,"508,013"
4484.97,"508,013"
4485,"510,506"
4485,"510,506"
4485.005,"510,923"
4485.01,"511,340"
4485.045,"514,260"
4485.05,"514,677"
4485.08,"517,180"
4485.09,"518,014"
4485.11,"519,685"
4485.11,"519,685"
4485.11,"519,685"
4485.125,"520,942"
4485.14,"522,198"
4485.145,"522,616"
4485.15,"523,035"
4485.15,"523,035"
4485.15,"523,035"
4485.18,"525,547"
4485.185,"525,966"
4485.22,"528,903"
4485.24,"530,584"
4485.24,"530,584"
4485.26,"532,265"
4485.275,"533,526"
4485.28,"533,946"
4485.29,"534,787"
4485.3,"535,627"
4485.305,"536,049"
4485.31,"536,471"
4485.32,"537,315"
4485.32,"537,315"
4485.32,"537,315"
4485.325,"537,736"
4485.325,"537,736"
4485.345,"539,424"
4485.37,"541,533"
4485.38,"542,377"
4485.39,"543,220"
4485.395,"543,642"
4485.4,"544,064"
4485.415,"545,334"
4485.42,"545,758"
4485.42,"545,758"
4485.43,"546,604"
4485.44,"547,451"
4485.44,"547,451"
4485.44,"547,451"
4485.45,"548,298"
4485.45,"548,298"
4485.46,"549,145"
4485.46,"549,145"
4485.48,"550,838"
4485.485,"551,262"
4485.49,"551,685"
4485.49,"551,685"
4485.495,"552,109"
4485.495,"552,109"
4485.52,"554,232"
4485.52,"554,232"
4485.545,"556,357"
4485.545,"556,357"
4485.555,"557,207"
4485.56,"557,632"
4485.575,"558,907"
4485.58,"559,332"
4485.585,"559,757"
4485.59,"560,182"
4485.595,"560,607"
4485.6,"561,032"
4485.6,"561,032"
4485.61,"561,885"
4485.63,"563,591"
4485.64,"564,444"
4485.64,"564,444"
4485.64,"564,444"
4485.655,"565,724"
4485.66,"566,150"
4485.68,"567,857"
4485.685,"568,283"
4485.69,"568,710"
4485.7,"569,563"
4485.71,"570,419"
4485.73,"572,131"
4485.735,"572,559"
4485.74,"572,987"
4485.745,"573,415"
4485.76,"574,699"
4485.795,"577,696"
4485.8,"578,124"
4485.8,"578,124"
4485.81,"578,983"
4485.82,"579,843"
4485.835,"581,132"
4485.84,"581,562"
4485.84,"581,562"
4485.84,"581,562"
4485.845,"581,991"
4485.845,"581,991"
4485.85,"582,421"
4485.875,"584,569"
4485.89,"585,858"
4485.89,"585,858"
4485.89,"585,858"
4485.89,"585,858"
4485.895,"586,287"
4485.9,"586,717"
4485.92,"588,442"
4485.92,"588,442"
4485.93,"589,304"
4485.93,"589,304"
4485.93,"589,304"
4485.94,"590,167"
4485.94,"590,167"
4485.97,"592,754"
4485.995,"594,910"
4486.015,"596,639"
4486.02,"597,071"
4486.04,"598,801"
4486.06,"600,531"
4486.06,"600,531"
4486.065,"600,963"
4486.065,"600,964"
4486.07,"601,396"
4486.09,"603,126"
4486.09,"603,126"
4486.1,"603,991"
4486.11,"604,858"
4486.13,"606,593"
4486.14,"607,461"
4486.15,"608,328"
4486.17,"610,063"
4486.18,"610,931"
4486.19,"611,798"
4486.19,"611,798"
4486.195,"612,232"
4486.2,"612,666"
4486.21,"613,536"
4486.245,"616,580"
4486.25,"617,015"
4486.26,"617,885"
4486.29,"620,494"
4486.295,"620,929"
4486.3,"621,364"
4486.3,"621,364"
4486.31,"622,236"
4486.31,"622,236"
4486.32,"623,108"
4486.34,"624,853"
4486.34,"624,853"
4486.34,"624,853"
4486.34,"624,853"
4486.34,"624,853"
4486.345,"625,289"
4486.345,"625,289"
4486.345,"625,289"
4486.35,"625,725"
4486.36,"626,597"
4486.36,"626,597"
4486.36,"626,597"
4486.36,"626,597"
4486.365,"627,033"
4486.37,"627,469"
4486.37,"627,469"
4486.38,"628,341"
4486.385,"628,777"
4486.4,"630,085"
4486.4,"630,085"
4486.41,"630,960"
4486.41,"630,960"
4486.41,"630,960"
4486.42,"631,834"
4486.425,"632,272"
4486.425,"632,272"
4486.435,"633,146"
4486.44,"633,583"
4486.445,"634,021"
4486.455,"634,895"
4486.46,"635,333"
4486.46,"635,333"
4486.465,"635,770"
4486.48,"637,082"
4486.49,"637,956"
4486.495,"638,394"
4486.5,"638,831"
4486.525,"641,023"
4486.53,"641,462"
4486.53,"641,462"
4486.535,"641,900"
4486.535,"641,900"
4486.54,"642,339"
4486.54,"642,339"
4486.545,"642,777"
4486.545,"642,777"
4486.555,"643,655"
4486.56,"644,093"
4486.56,"644,093"
4486.57,"644,970"
4486.59,"646,725"
4486.59,"646,725"
4486.59,"646,725"
4486.605,"648,042"
4486.61,"648,481"
4486.64,"651,120"
4486.64,"651,120"
4486.69,"655,517"
4486.69,"655,517"
4486.69,"655,517"
4486.705,"656,837"
4486.71,"657,278"
4486.71,"657,278"
4486.715,"657,719"
4486.72,"658,160"
4486.72,"658,160"
4486.73,"659,042"
4486.74,"659,924"
4486.77,"662,570"
4486.795,"664,774"
4486.795,"664,774"
4486.795,"664,774"
4486.8,"665,215"
4486.81,"666,099"
4486.81,"666,099"
4486.81,"666,099"
4486.83,"667,868"
4486.83,"667,868"
4486.84,"668,753"
4486.84,"668,753"
4486.85,"669,637"
4486.855,"670,079"
4486.86,"670,521"
4486.865,"670,964"
4486.87,"671,406"
4486.87,"671,406"
4486.88,"672,290"
4486.88,"672,290"
4486.895,"673,617"
4486.895,"673,617"
4486.915,"675,390"
4486.935,"677,164"
4486.94,"677,607"
4486.945,"678,050"
4486.945,"678,050"
4486.96,"679,381"
4486.965,"679,824"
4486.99,"682,041"
4486.99,"682,041"
4486.995,"682,485"
4487,"682,928"
4487,"682,928"
4487.01,"683,817"
4487.01,"683,817"
4487.015,"684,262"
4487.02,"684,707"
4487.04,"686,486"
4487.04,"686,486"
4487.045,"686,930"
4487.045,"686,930"
4487.06,"688,264"
4487.06,"688,264"
4487.06,"688,264"
4487.07,"689,154"
4487.09,"690,933"
4487.09,"690,933"
4487.09,"690,933"
4487.11,"692,714"
4487.13,"694,498"
4487.13,"694,498"
4487.14,"695,390"
4487.14,"695,390"
4487.14,"695,390"
4487.145,"695,836"
4487.145,"695,836"
4487.145,"695,836"
4487.16,"697,174"
4487.18,"698,958"
4487.19,"699,850"
4487.2,"700,742"
4487.2,"700,742"
4487.205,"701,189"
4487.21,"701,636"
4487.21,"701,636"
4487.23,"703,425"
4487.235,"703,872"
4487.245,"704,767"
4487.25,"705,214"
4487.26,"706,109"
4487.26,"706,109"
4487.27,"707,003"
4487.27,"707,003"
4487.27,"707,003"
4487.27,"707,003"
4487.28,"707,898"
4487.29,"708,792"
4487.31,"710,584"
4487.34,"713,275"
4487.34,"713,275"
4487.345,"713,723"
4487.35,"714,172"
4487.38,"716,863"
4487.38,"716,863"
4487.4,"718,657"
4487.44,"722,255"
4487.44,"722,255"
4487.445,"722,705"
4487.465,"724,504"
4487.47,"724,954"
4487.475,"725,404"
4487.48,"725,854"
4487.52,"729,457"
4487.53,"730,360"
4487.54,"731,262"
4487.545,"731,713"
4487.55,"732,164"
4487.56,"733,066"
4487.56,"733,066"
4487.585,"735,322"
4487.59,"735,774"
4487.59,"735,774"
4487.59,"735,774"
4487.6,"736,676"
4487.62,"738,486"
4487.64,"740,295"
4487.64,"740,295"
4487.64,"740,295"
4487.645,"740,748"
4487.645,"740,748"
4487.645,"740,748"
4487.65,"741,200"
4487.69,"744,819"
4487.695,"745,272"
4487.7,"745,724"
4487.705,"746,178"
4487.71,"746,631"
4487.71,"746,631"
4487.715,"747,085"
4487.72,"747,539"
4487.73,"748,446"
4487.74,"749,354"
4487.745,"749,807"
4487.745,"749,807"
4487.75,"750,261"
4487.75,"750,261"
4487.78,"752,984"
4487.795,"754,345"
4487.8,"754,799"
4487.81,"755,709"
4487.81,"755,709"
4487.81,"755,709"
4487.82,"756,619"
4487.825,"757,074"
4487.83,"757,529"
4487.84,"758,439"
4487.84,"758,439"
4487.845,"758,894"
4487.845,"758,894"
4487.85,"759,349"
4487.855,"759,804"
4487.86,"760,259"
4487.86,"760,259"
4487.86,"760,259"
4487.87,"761,169"
4487.89,"762,990"
4487.89,"762,990"
4487.89,"762,990"
4487.895,"763,445"
4487.9,"763,900"
4487.9,"763,900"
4487.92,"765,726"
4487.925,"766,182"
4487.925,"766,182"
4487.94,"767,551"
4487.95,"768,464"
4487.97,"770,290"
4487.98,"771,202"
4487.99,"772,115"
4487.99,"772,115"
4487.99,"772,115"
4487.995,"772,572"
4488,"773,028"
4488.01,"773,943"
4488.01,"773,943"
4488.04,"776,690"
4488.045,"777,147"
4488.045,"777,147"
4488.045,"777,147"
4488.05,"777,605"
4488.06,"778,521"
4488.06,"778,521"
4488.065,"778,978"
4488.065,"778,978"
4488.065,"778,978"
4488.07,"779,436"
4488.09,"781,267"
4488.11,"783,101"
4488.11,"783,101"
4488.12,"784,019"
4488.14,"785,855"
4488.14,"785,855"
4488.14,"785,855"
4488.14,"785,855"
4488.155,"787,232"
4488.16,"787,691"
4488.18,"789,528"
4488.18,"789,528"
4488.19,"790,446"
4488.21,"792,285"
4488.23,"794,127"
4488.235,"794,587"
4488.24,"795,048"
4488.24,"795,048"
4488.245,"795,508"
4488.245,"795,508"
4488.26,"796,890"
4488.265,"797,350"
4488.265,"797,350"
4488.27,"797,811"
4488.275,"798,271"
4488.28,"798,731"
4488.3,"800,573"
4488.3,"800,573"
4488.32,"802,420"
4488.32,"802,420"
4488.32,"802,420"
4488.33,"803,344"
4488.34,"804,267"
4488.34,"804,267"
4488.345,"804,729"
4488.36,"806,115"
4488.36,"806,115"
4488.36,"806,115"
4488.37,"807,039"
4488.385,"808,424"
4488.41,"810,736"
4488.41,"810,736"
4488.42,"811,662"
4488.43,"812,589"
4488.43,"812,589"
4488.44,"813,515"
4488.46,"815,367"
4488.46,"815,367"
4488.465,"815,831"
4488.48,"817,220"
4488.49,"818,147"
4488.49,"818,147"
4488.49,"818,147"
4488.5,"819,073"
4488.5,"819,073"
4488.5,"819,073"
4488.5,"819,073"
4488.52,"820,931"
4488.52,"820,931"
4488.525,"821,396"
4488.55,"823,719"
4488.555,"824,184"
4488.56,"824,648"
4488.56,"824,648"
4488.56,"824,648"
4488.57,"825,577"
4488.57,"825,577"
4488.58,"826,507"
4488.58,"826,507"
4488.58,"826,507"
4488.59,"827,436"
4488.595,"827,900"
4488.61,"829,297"
4488.63,"831,161"
4488.645,"832,559"
4488.655,"833,491"
4488.69,"836,752"
4488.69,"836,752"
4488.695,"837,218"
4488.7,"837,684"
4488.72,"839,554"
4488.725,"840,021"
4488.73,"840,488"
4488.735,"840,956"
4488.74,"841,423"
4488.74,"841,423"
4488.74,"841,423"
4488.745,"841,891"
4488.745,"841,891"
4488.77,"844,228"
4488.77,"844,228"
4488.775,"844,695"
4488.78,"845,162"
4488.79,"846,097"
4488.8,"847,032"
4488.81,"847,969"
4488.82,"848,907"
4488.82,"848,907"
4488.83,"849,844"
4488.835,"850,313"
4488.84,"850,782"
4488.84,"850,782"
4488.845,"851,250"
4488.865,"853,125"
4488.87,"853,594"
4488.87,"853,594"
4488.885,"855,001"
4488.89,"855,469"
4488.91,"857,347"
4488.92,"858,288"
4488.92,"858,288"
4488.93,"859,228"
4488.935,"859,698"
4488.94,"860,169"
4488.945,"860,639"
4488.945,"860,639"
4488.945,"860,639"
4488.95,"861,109"
4488.96,"862,049"
4488.965,"862,520"
4488.97,"862,990"
4488.97,"862,990"
4488.97,"862,990"
4488.98,"863,930"
4488.985,"864,400"
4488.99,"864,871"
4488.995,"865,341"
4489.01,"866,754"
4489.01,"866,754"
4489.015,"867,226"
4489.02,"867,697"
4489.04,"869,584"
4489.045,"870,055"
4489.06,"871,470"
4489.06,"871,470"
4489.065,"871,942"
4489.09,"874,300"
4489.1,"875,243"
4489.1,"875,243"
4489.11,"876,189"
4489.12,"877,135"
4489.12,"877,135"
4489.125,"877,609"
4489.13,"878,082"
4489.14,"879,028"
4489.14,"879,028"
4489.145,"879,501"
4489.15,"879,974"
4489.16,"880,920"
4489.165,"881,393"
4489.18,"882,813"
4489.19,"883,759"
4489.195,"884,232"
4489.195,"884,232"
4489.2,"884,705"
4489.225,"887,078"
4489.225,"887,078"
4489.225,"887,078"
4489.23,"887,552"
4489.24,"888,501"
4489.24,"888,501"
4489.245,"888,976"
4489.25,"889,450"
4489.27,"891,348"
4489.27,"891,348"
4489.28,"892,297"
4489.28,"892,297"
4489.28,"892,297"
4489.295,"893,720"
4489.295,"893,720"
4489.31,"895,147"
4489.31,"895,147"
4489.32,"896,099"
4489.325,"896,574"
4489.34,"898,002"
4489.35,"898,954"
4489.355,"899,430"
4489.365,"900,382"
4489.37,"900,858"
4489.37,"900,858"
4489.38,"901,810"
4489.4,"903,714"
4489.41,"904,669"
4489.41,"904,669"
4489.41,"904,669"
4489.41,"904,669"
4489.415,"905,146"
4489.42,"905,624"
4489.42,"905,624"
4489.43,"906,578"
4489.44,"907,533"
4489.44,"907,533"
4489.44,"907,533"
4489.48,"911,352"
4489.495,"912,785"
4489.5,"913,262"
4489.505,"913,741"
4489.51,"914,220"
4489.51,"914,220"
4489.52,"915,178"
4489.52,"915,178"
4489.52,"915,178"
4489.53,"916,135"
4489.555,"918,530"
4489.57,"919,966"
4489.59,"921,881"
4489.59,"921,881"
4489.59,"921,881"
4489.61,"923,800"
4489.625,"925,241"
4489.64,"926,682"
4489.645,"927,163"
4489.65,"927,643"
4489.67,"929,564"
4489.69,"931,485"
4489.69,"931,485"
4489.72,"934,374"
4489.74,"936,301"
4489.74,"936,301"
4489.75,"937,265"
4489.84,"945,950"
4489.84,"945,950"
4489.85,"946,917"
4489.86,"947,884"
4489.88,"949,817"
4489.88,"949,817"
4489.89,"950,783"
4489.895,"951,267"
4489.9,"951,750"
4489.91,"952,720"
4489.91,"952,720"
4489.93,"954,659"
4489.97,"958,824"
4489.97,"958,824"
4490,"962,162"
4490.01,"963,275"
4490.01,"963,275"
4490.02,"964,388"
4490.04,"966,614"
4490.11,"974,404"
4490.13,"976,630"
4490.22,"986,646"
4490.28,"993,323"
4490.31,"996,661"
4490.33,"998,887"
4490.33,"998,887"
4490.34,"1,000,000"
4490.34,"1,000,000"
4490.37,"1,002,700"
4490.39,"1,004,500"
4490.4,"1,005,400"
4490.4,"1,005,400"
4490.41,"1,006,300"
4490.46,"1,010,800"
4490.47,"1,011,700"
4490.47,"1,011,700"
4490.51,"1,015,300"
4490.64,"1,027,000"
4490.79,"1,040,500"
4490.86,"1,046,800"
4490.895,"1,049,950"
4490.98,"1,057,600"
4491.02,"1,061,200"
4491.045,"1,063,450"
4491.16,"1,073,800"
4491.19,"1,076,500"
4491.22,"1,079,200"
4491.295,"1,085,950"
4491.33,"1,089,100"
4491.7,"1,126,000"
4491.74,"1,130,000"
4491.81,"1,137,000"
4491.84,"1,140,000"
4491.94,"1,150,000"
4491.95,"1,151,000"
4491.95,"1,151,000"
4491.95,"1,151,000"
4492.01,"1,157,000"
4492.06,"1,162,000"
4492.06,"1,162,000"
4492.14,"1,170,000"
4492.24,"1,180,000"
4492.25,"1,181,000"
4492.26,"1,182,000"
4492.3,"1,186,000"
4492.34,"1,190,000"
4492.41,"1,197,700"
4492.53,"1,210,900"
4492.54,"1,212,000"
4492.62,"1,220,800"
4492.69,"1,228,500"
4492.7,"1,229,600"
4492.71,"1,230,700"
4492.79,"1,239,500"
4492.99,"1,261,500"
4493.06,"1,269,200"
4493.09,"1,272,500"
4493.1,"1,273,600"
4493.16,"1,280,200"
4493.23,"1,287,900"
4494.13,"1,350,000"
4494.26,"1,400,000"
4494.42,"1,500,000"
